10;06740
10;06291
10;03862
10;20397
10;10289
10;13117
10;12055
10;14162
10;08875
10;13126
20;08377
20;09315
20;18476
20;06839
20;05080
20;14716
20;10832
20;09817
20;18472
20;02405
30;01089
30;05001
30;06535
30;06260
30;12164
30;04970
30;18584
30;20958
30;18018
30;05011
40;15192
40;17563
40;06008
40;07184
40;10686
40;16324
40;08730
40;13346
40;06858
40;18398
50;18242
50;19450
50;05304
50;16342
50;20176
50;13885
50;15193
50;05067
50;16609
50;14880
60;17599
60;15948
60;09143
60;17980
60;06191
60;18516
60;15976
60;12296
60;15170
60;05242
70;19276
70;19815
70;19676
70;06471
70;19586
70;17774
70;08835
70;18099
70;14761
70;18526
