37	4568	POLYGON ((-160.3125 66.02115839, -157.5 66.02115839, -157.5 67.37786412, -160.3125 67.37786412, -160.3125 66.02115839))	0002311	37
38	2658	POLYGON ((-163.125 64.66445267, -160.3125 64.66445267, -160.3125 66.02115839, -163.125 66.02115839, -163.125 64.66445267))	0002312	38
39	0	POLYGON ((-160.3125 64.66445267, -157.5 64.66445267, -157.5 66.02115839, -160.3125 66.02115839, -160.3125 64.66445267))	0002313	39
40	410	POLYGON ((-168.75 63.30774694, -165.9375 63.30774694, -165.9375 64.66445267, -168.75 64.66445267, -168.75 63.30774694))	0002320	40
41	2989	POLYGON ((-165.9375 63.30774694, -163.125 63.30774694, -163.125 64.66445267, -165.9375 64.66445267, -165.9375 63.30774694))	0002321	41
42	292	POLYGON ((-168.75 61.95104122, -165.9375 61.95104122, -165.9375 63.30774694, -168.75 63.30774694, -168.75 61.95104122))	0002322	42
43	9105	POLYGON ((-165.9375 61.95104122, -163.125 61.95104122, -163.125 63.30774694, -165.9375 63.30774694, -165.9375 61.95104122))	0002323	43
44	7606	POLYGON ((-163.125 61.95104122, -157.5 61.95104122, -157.5 64.66445267, -163.125 64.66445267, -163.125 61.95104122))	000233	44
45	0	POLYGON ((-157.5 71.44798129, -154.6875 71.44798129, -154.6875 72.80468702, -157.5 72.80468702, -157.5 71.44798129))	0003000	45
46	0	POLYGON ((-154.6875 71.44798129, -151.875 71.44798129, -151.875 72.80468702, -154.6875 72.80468702, -154.6875 71.44798129))	0003001	46
47	3609	POLYGON ((-157.5 70.76962843, -156.09375 70.76962843, -156.09375 71.44798129, -157.5 71.44798129, -157.5 70.76962843))	00030020	47
48	7709	POLYGON ((-156.09375 70.76962843, -154.6875 70.76962843, -154.6875 71.44798129, -156.09375 71.44798129, -156.09375 70.76962843))	00030021	48
49	0	POLYGON ((-157.5 70.09127557, -156.09375 70.09127557, -156.09375 70.76962843, -157.5 70.76962843, -157.5 70.09127557))	00030022	49
50	135	POLYGON ((-156.09375 70.09127557, -154.6875 70.09127557, -154.6875 70.76962843, -156.09375 70.76962843, -156.09375 70.09127557))	00030023	50
51	6112	POLYGON ((-154.6875 70.09127557, -151.875 70.09127557, -151.875 71.44798129, -154.6875 71.44798129, -154.6875 70.09127557))	0003003	51
52	0	POLYGON ((-151.875 71.44798129, -149.0625 71.44798129, -149.0625 72.80468702, -151.875 72.80468702, -151.875 71.44798129))	0003010	52
53	0	POLYGON ((-149.0625 71.44798129, -146.25 71.44798129, -146.25 72.80468702, -149.0625 72.80468702, -149.0625 71.44798129))	0003011	53
54	0	POLYGON ((-151.875 70.76962843, -150.46875 70.76962843, -150.46875 71.44798129, -151.875 71.44798129, -151.875 70.76962843))	00030120	54
55	0	POLYGON ((-150.46875 70.76962843, -149.0625 70.76962843, -149.0625 71.44798129, -150.46875 71.44798129, -150.46875 70.76962843))	00030121	55
56	7480	POLYGON ((-151.875 70.09127557, -150.46875 70.09127557, -150.46875 70.76962843, -151.875 70.76962843, -151.875 70.09127557))	00030122	56
57	1982	POLYGON ((-150.46875 70.09127557, -149.0625 70.09127557, -149.0625 70.76962843, -150.46875 70.76962843, -150.46875 70.09127557))	00030123	57
58	3931	POLYGON ((-149.0625 70.09127557, -146.25 70.09127557, -146.25 71.44798129, -149.0625 71.44798129, -149.0625 70.09127557))	0003013	58
59	0	POLYGON ((-157.5 67.37786412, -151.875 67.37786412, -151.875 70.09127557, -157.5 70.09127557, -157.5 67.37786412))	000302	59
60	1091	POLYGON ((-151.875 67.37786412, -146.25 67.37786412, -146.25 70.09127557, -151.875 70.09127557, -151.875 67.37786412))	000303	60
61	1721	POLYGON ((-146.25 70.09127557, -140.625 70.09127557, -140.625 72.80468702, -146.25 72.80468702, -146.25 70.09127557))	000310	61
62	16	POLYGON ((-140.625 70.09127557, -135 70.09127557, -135 72.80468702, -140.625 72.80468702, -140.625 70.09127557))	000311	62
63	5676	POLYGON ((-146.25 67.37786412, -140.625 67.37786412, -140.625 70.09127557, -146.25 70.09127557, -146.25 67.37786412))	000312	63
