method	time	overlay_option	overlay_level	stage
By Label	4.88	0	4	overlay
At Master/Root	18.8964	1	4	overlayMaster
At Level [4]	19.813	2	4	overlayByLevel
At Level [5]	19.369	2	5	overlayByLevel
At Level [6]	23.6768	2	6	overlayByLevel
At Level [7]	29.8156	2	7	overlayByLevel
At Level [8]	33.6222	2	8	overlayByLevel
At Level [9]	33.4558	2	9	overlayByLevel
At Level [10]	33.2556	2	10	overlayByLevel
At Level [11]	33.376999999999995	2	11	overlayByLevel
At Level [12]	33.7746	2	12	overlayByLevel
