size	stage	time
S1	layer1	5.737
S1	layer2	22.901
S1	overlay	60.632
S2	layer1	4.431
S2	layer2	20.698
S2	overlay	61.989
S4	layer1	5.492
S4	layer2	21.611
S4	overlay	62.515
S1	layer1	4.511
S1	layer2	22.091
S1	overlay	68.808
S2	layer1	5.425
S2	layer2	21.832
S2	overlay	60.227
S4	layer1	5.489
S4	layer2	21.455
S4	overlay	65.774
S1	layer1	4.58
S1	layer2	19.966
S1	overlay	65.018
S2	layer1	5.271
S2	layer2	20.352
S2	overlay	63.851
S4	layer1	5.924
S4	layer2	23.565
S4	overlay	64.528
