size	stage	time
S1	layer1	24.412
S1	layer2	84.995
S1	overlay	235.981
S2	layer1	13.463
S2	layer2	44.152
S2	overlay	120.037
S4	layer1	6.024
S4	layer2	23.565
S4	overlay	64.528
