tag	stage	time
E10K	merge	277.5866
E11K	merge	300.0126
E12K	merge	325.585
E13K	merge	341.3852
E14K	merge	316.2312
E15K	merge	357.8968
E2K	merge	163.5728
E3K	merge	154.4384
E4K	merge	195.7756
E5K	merge	172.4956
E6K	merge	194.0418
E7K	merge	214.5286
E8K	merge	217.3778
E9K	merge	281.8596
