partitions	time	tree
5000	545.2155130686	Kdtree
5000	574.7852614778	Quadtree
6000	557.2215243396	Kdtree
6000	500.0428816606	Quadtree
7000	469.654356623	Kdtree
7000	444.5949137584	Quadtree
8000	458.3918808098	Kdtree
8000	435.834076859	Quadtree
9000	387.351411828	Kdtree
9000	409.9598725182	Quadtree
10000	420.995548536	Kdtree
10000	427.23714956699996	Quadtree
11000	403.5640923048	Kdtree
11000	418.194755881	Quadtree
12000	372.0781119556	Kdtree
12000	388.974097725	Quadtree
13000	386.5914638734	Kdtree
13000	424.9885186052	Quadtree
14000	368.719315816	Kdtree
14000	399.31102586566664	Quadtree
15000	382.2895041095	Kdtree
15000	430.09778980925	Quadtree
16000	377.5158727105	Kdtree
16000	405.828467032	Quadtree
17000	381.34129416775	Kdtree
17000	439.94224448675	Quadtree
18000	397.09311535866664	Kdtree
18000	443.02241069666667	Quadtree
19000	403.225659296	Kdtree
19000	466.10669312566665	Quadtree
20000	410.6787795705	Kdtree
20000	475.24445995350004	Quadtree
21000	431.569420515	Kdtree
21000	472.088117018	Quadtree
