tag	stage	time
E10K	ldcelA	54.9764
E10K	ldcelB	50.158
E11K	ldcelA	49.7182
E11K	ldcelB	45.5216
E12K	ldcelA	50.4508
E12K	ldcelB	46.434000000000005
E13K	ldcelA	61.5544
E13K	ldcelB	57.3052
E14K	ldcelA	68.9696
E14K	ldcelB	64.7658
E15K	ldcelA	65.8688
E15K	ldcelB	62.3284
E2K	ldcelA	75.6554
E2K	ldcelB	71.9562
E3K	ldcelA	49.0524
E3K	ldcelB	45.041
E4K	ldcelA	35.9478
E4K	ldcelB	31.8766
E5K	ldcelA	35.4544
E5K	ldcelB	31.9826
E6K	ldcelA	40.5824
E6K	ldcelB	36.6726
E7K	ldcelA	37.2528
E7K	ldcelB	33.8572
E8K	ldcelA	40.3292
E8K	ldcelB	36.6474
E9K	ldcelA	47.614
E9K	ldcelB	43.5628
