cellId	taskId	executor	launchTime	duration	size	records	appId	stageId
59	25631	mr-03:10	2021/05/06 21:42:35	1.1	19800000	17067	application_1615435002078_0443	10
4	25576	mr-03:10	2021/05/06 21:42:35	55	18000000	15565	application_1615435002078_0443	10
11	25584	mr-11:7	2021/05/06 21:42:35	51	0	0	application_1615435002078_0443	10
2	25578	mr-07:3	2021/05/06 21:42:35	45	18500000	15940	application_1615435002078_0443	10
96	25662	mr-10:1	2021/05/06 21:42:35	36	11500000	9927	application_1615435002078_0443	10
101	25672	mr-10:1	2021/05/06 21:42:35	36	14200000	1	application_1615435002078_0443	10
22	25595	mr-11:7	2021/05/06 21:42:35	36	15500000	13371	application_1615435002078_0443	10
74	25640	mr-10:1	2021/05/06 21:42:35	33	6500000	5567	application_1615435002078_0443	10
63	25629	mr-10:1	2021/05/06 21:42:35	33	8500000	7346	application_1615435002078_0443	10
87	25657	mr-08:4	2021/05/06 21:42:35	33	14200000	12205	application_1615435002078_0443	10
52	25618	mr-10:1	2021/05/06 21:42:35	33	6100000	5249	application_1615435002078_0443	10
85	25651	mr-10:1	2021/05/06 21:42:35	32	5600000	4828	application_1615435002078_0443	10
66	25639	mr-11:7	2021/05/06 21:42:35	30	11500000	9981	application_1615435002078_0443	10
46	25622	mr-07:3	2021/05/06 21:42:35	30	12600000	10900	application_1615435002078_0443	10
68	25644	mr-07:3	2021/05/06 21:42:35	28	14400000	12420	application_1615435002078_0443	10
10	25580	mr-08:4	2021/05/06 21:42:35	27	13400000	11605	application_1615435002078_0443	10
81	25653	mr-03:10	2021/05/06 21:42:35	26	7300000	6395	application_1615435002078_0443	10
70	25642	mr-03:10	2021/05/06 21:42:35	25	7200000	6268	application_1615435002078_0443	10
37	25609	mr-03:10	2021/05/06 21:42:35	25	7600000	6746	application_1615435002078_0443	10
90	25666	mr-07:3	2021/05/06 21:42:35	25	10100000	8781	application_1615435002078_0443	10
8	25574	mr-10:1	2021/05/06 21:42:35	23	3400000	2910	application_1615435002078_0443	10
30	25596	mr-10:1	2021/05/06 21:42:35	23	2900000	2497	application_1615435002078_0443	10
41	25607	mr-10:1	2021/05/06 21:42:35	23	2600000	2235	application_1615435002078_0443	10
79	25655	mr-07:3	2021/05/06 21:42:35	23	7400000	6382	application_1615435002078_0443	10
48	25620	mr-03:10	2021/05/06 21:42:35	23	8100000	6977	application_1615435002078_0443	10
92	25664	mr-03:10	2021/05/06 21:42:35	23	7100000	6159	application_1615435002078_0443	10
3	25582	mr-01:11	2021/05/06 21:42:35	22	0	0	application_1615435002078_0443	10
47	25626	mr-01:11	2021/05/06 21:42:35	22	0	0	application_1615435002078_0443	10
58	25637	mr-01:11	2021/05/06 21:42:35	22	0	0	application_1615435002078_0443	10
69	25648	mr-01:11	2021/05/06 21:42:35	22	0	0	application_1615435002078_0443	10
13	25589	mr-07:3	2021/05/06 21:42:35	22	5300000	4569	application_1615435002078_0443	10
98	25668	mr-08:4	2021/05/06 21:42:35	22	9900000	8607	application_1615435002078_0443	10
16	25592	mr-04:5	2021/05/06 21:42:35	22	0	0	application_1615435002078_0443	10
5	25581	mr-04:5	2021/05/06 21:42:35	22	0	0	application_1615435002078_0443	10
49	25625	mr-04:5	2021/05/06 21:42:35	22	0	0	application_1615435002078_0443	10
17	25594	mr-09:9	2021/05/06 21:42:35	22	0	0	application_1615435002078_0443	10
61	25638	mr-09:9	2021/05/06 21:42:35	22	0	0	application_1615435002078_0443	10
20	25588	mr-06:8	2021/05/06 21:42:35	21	0	0	application_1615435002078_0443	10
42	25610	mr-06:8	2021/05/06 21:42:35	21	0	0	application_1615435002078_0443	10
53	25621	mr-06:8	2021/05/06 21:42:35	21	0	0	application_1615435002078_0443	10
97	25665	mr-06:8	2021/05/06 21:42:35	21	0	0	application_1615435002078_0443	10
27	25603	mr-04:5	2021/05/06 21:42:35	21	6600000	5677	application_1615435002078_0443	10
21	25591	mr-08:4	2021/05/06 21:42:35	21	7100000	6113	application_1615435002078_0443	10
54	25624	mr-08:4	2021/05/06 21:42:35	21	6700000	5760	application_1615435002078_0443	10
93	25669	mr-04:5	2021/05/06 21:42:35	21	8500000	7352	application_1615435002078_0443	10
80	25659	mr-01:11	2021/05/06 21:42:35	21	9000000	7800	application_1615435002078_0443	10
