method	time	overlay_option	overlay_level	stage
By Label	10.5114	0	4	overlay
At Master/Root	70.0506	1	4	overlayMaster
At Level [10]	123.095	2	10	overlayByLevel
At Level [11]	117.1032	2	11	overlayByLevel
At Level [12]	123.033	2	12	overlayByLevel
At Level [4]	64.9382	2	4	overlayByLevel
At Level [5]	65.922	2	5	overlayByLevel
At Level [6]	66.3324	2	6	overlayByLevel
At Level [7]	79.844	2	7	overlayByLevel
At Level [8]	106.0022	2	8	overlayByLevel
At Level [9]	121.1284	2	9	overlayByLevel
