size	stage	time
8M	layer1	84.479
8M	layer2	85.1736
8M	overlay	159.8766
16M	layer1	58.385
16M	layer2	54.0708
16M	overlay	141.7514
24M	layer1	47.0886
24M	layer2	43.2164
24M	overlay	128.3572
32M	layer1	42.1958
32M	layer2	38.4296
32M	overlay	119.9642
