partitions	stage	size	time
500	layer1	3.75M	7.8708
500	layer2	3.75M	9.1524
500	overlay	3.75M	23.6662
750	layer1	3.75M	5.4392000000000005
750	layer2	3.75M	6.671
750	overlay	3.75M	20.247600000000002
1000	layer1	3.75M	5.8154
1000	layer2	3.75M	6.549
1000	overlay	3.75M	18.811
2000	layer1	3.75M	8.3688
2000	layer2	3.75M	9.5308
2000	overlay	3.75M	13.8364
3000	layer1	3.75M	15.1924
3000	layer2	3.75M	18.488400000000002
3000	overlay	3.75M	15.2236
4000	layer1	3.75M	26.3308
4000	layer2	3.75M	32.9348
4000	overlay	3.75M	17.862
5000	layer1	3.75M	45.9842
5000	layer2	3.75M	57.2932
5000	overlay	3.75M	22.6494
