size	stage	time
8M	layer1	366.3554
8M	layer2	377.79720000000003
8M	overlay	579.337
16M	layer1	233.1228
16M	layer2	241.33180000000002
16M	overlay	435.639
24M	layer1	203.748
24M	layer2	229.1616
24M	overlay	448.42380000000003
32M	layer1	284.875
32M	layer2	268.2176666666667
32M	overlay	475.302
