partitions	stage	size	time
100	layer1	1.25M	11.8138
100	layer2	1.25M	12.2174
100	overlay	1.25M	18.9624
250	layer1	1.25M	4.681
250	layer2	1.25M	6.9376
250	overlay	1.25M	8.3106
500	layer1	1.25M	3.12
500	layer2	1.25M	2.8152
500	overlay	1.25M	4.9442
750	layer1	1.25M	3.6062000000000003
750	layer2	1.25M	2.8484000000000003
750	overlay	1.25M	4.1338
1000	layer1	1.25M	4.7472
1000	layer2	1.25M	3.6834000000000002
1000	overlay	1.25M	3.9448000000000003
2000	layer1	1.25M	11.225
2000	layer2	1.25M	11.0298
2000	overlay	1.25M	5.327
3000	layer1	1.25M	24.293
3000	layer2	1.25M	24.333000000000002
3000	overlay	1.25M	8.206800000000001
4000	layer1	1.25M	60.972
4000	layer2	1.25M	63.522800000000004
4000	overlay	1.25M	15.7412
5000	layer1	1.25M	122.1424
5000	layer2	1.25M	133.27360000000002
5000	overlay	1.25M	26.7054
