application_1591294234325_0378	21	mr-09	23.0
application_1591294234325_0378	21	mr-02	19.0
application_1591294234325_0378	21	mr-11	26.0
application_1591294234325_0378	21	mr-06	31.0
application_1591294234325_0378	21	mr-03	28.0
application_1591294234325_0378	21	mr-10	24.0
application_1591294234325_0378	21	mr-01	24.0
application_1591294234325_0378	21	mr-12	30.0
application_1591294234325_0378	21	mr-05	26.0
application_1591294234325_0378	21	mr-07	31.0
application_1591294234325_0378	21	mr-08	26.0
application_1591294234325_0378	21	mr-04	28.0
application_1591294234325_0377	21	mr-12	26.0
application_1591294234325_0377	21	mr-03	21.0
application_1591294234325_0377	21	mr-10	22.0
application_1591294234325_0377	21	mr-01	21.0
application_1591294234325_0377	21	mr-05	25.0
application_1591294234325_0377	21	mr-07	31.0
application_1591294234325_0377	21	mr-08	24.0
application_1591294234325_0377	21	mr-04	21.0
application_1591294234325_0377	21	mr-02	22.0
application_1591294234325_0377	21	mr-11	26.0
application_1591294234325_0377	21	mr-06	32.0
application_1591294234325_0377	21	mr-09	27.0
application_1591294234325_0376	21	mr-05	23.0
application_1591294234325_0376	21	mr-10	21.0
application_1591294234325_0376	21	mr-01	23.0
application_1591294234325_0376	21	mr-12	27.0
application_1591294234325_0376	21	mr-07	28.0
application_1591294234325_0376	21	mr-08	24.0
application_1591294234325_0376	21	mr-04	24.0
application_1591294234325_0376	21	mr-02	28.0
application_1591294234325_0376	21	mr-11	21.0
application_1591294234325_0376	21	mr-06	32.0
application_1591294234325_0376	21	mr-09	21.0
application_1591294234325_0376	21	mr-03	19.0
application_1591294234325_0375	21	mr-11	20.0
application_1591294234325_0375	21	mr-08	21.0
application_1591294234325_0375	21	mr-04	22.0
application_1591294234325_0375	21	mr-02	18.0
application_1591294234325_0375	21	mr-06	31.0
application_1591294234325_0375	21	mr-09	22.0
application_1591294234325_0375	21	mr-03	20.0
application_1591294234325_0375	21	mr-10	27.0
application_1591294234325_0375	21	mr-01	25.0
application_1591294234325_0375	21	mr-12	34.0
application_1591294234325_0375	21	mr-05	24.0
application_1591294234325_0375	21	mr-07	32.0
application_1591294234325_0374	21	mr-08	23.0
application_1591294234325_0374	21	mr-12	28.0
application_1591294234325_0374	21	mr-05	20.0
application_1591294234325_0374	21	mr-07	30.0
application_1591294234325_0374	21	mr-04	21.0
application_1591294234325_0374	21	mr-02	22.0
application_1591294234325_0374	21	mr-11	25.0
