0;03401
0;07365
0;13022
0;10488
0;12626
0;01440
0;00026
0;20412
0;11575
0;00673
10;10477
10;19810
10;20546
10;12055
10;05558
10;08027
10;11351
10;14160
10;06547
10;05489
20;02160
20;08828
20;08101
20;05609
20;05669
20;14480
20;11248
20;07996
20;10590
20;20041
30;01905
30;09207
30;20741
30;08736
30;10371
30;18584
30;17464
30;19485
30;16800
30;15375
40;10377
40;16089
40;17360
40;17531
40;14019
40;03704
40;06257
40;04735
40;06386
40;03151
50;05067
50;19834
50;06304
50;01181
50;16488
50;14812
50;16814
50;06226
50;05748
50;17423
60;16646
60;05962
60;18871
60;16793
60;15919
60;02125
60;09146
60;04985
60;05022
60;13212
70;18502
70;20416
70;15572
70;18100
70;06861
70;05868
70;16707
70;11921
70;10961
70;02223
80;15252
80;08263
80;05900
80;17557
80;06389
80;08272
80;05169
80;08180
80;19206
80;08327
90;06604
90;15594
90;15014
90;12293
90;17843
90;19128
90;19165
90;14973
90;05636
90;08633
