0	36652	36014
1	27216	27178
2	14943	14943
3	5092	10568
4	14072	14072
5	40377	44015
6	20840	25014
7	23912	29218
8	5588	5588
9	10182	10348
10	23680	23640
11	5777	5777
12	10062	17270
13	14812	17330
14	25508	26440
15	31016	31012
16	4892	4888
17	1143	2315
18	40018	41134
19	35	173
20	17820	27924
21	16102	16150
22	11606	11620
23	12692	13442
24	13592	13400
25	22316	22878
26	9154	9344
27	18062	18328
28	2105	2241
29	18588	18996
30	29094	31310
31	4171	4565
32	25480	26312
33	11496	15042
34	6318	8418
35	37420	38906
36	20780	22370
37	33907	35553
38	20334	20988
39	12294	12780
40	714	612
41	20690	22170
42	30748	36818
43	44988	47006
44	47182	49136
45	36544	38294
46	31642	32754
47	5986	6036
48	17966	21468
49	14212	15890
50	22012	26332
51	16092	16148
52	4006	4006
53	24050	25538
54	18014	18078
55	29619	29131
56	41022	43424
57	35950	40860
58	21232	22380
59	19024	19882
60	26546	28370
61	3112	3112
62	18360	24548
63	11064	12214
64	7643	9747
65	0	0
66	49	229
67	17072	17156
68	44756	45868
69	3816	3844
70	18054	17814
71	0	0
72	8784	11524
73	0	0
74	4	4
75	28928	30956
76	13466	13844
77	16254	17562
78	12478	12486
79	28460	37538
80	27166	32236
81	12098	12552
82	30866	31906
83	47694	54964
84	33490	33450
85	0	0
86	6976	9018
87	27563	28619
88	30888	31508
89	199	801
90	10683	11839
91	0	0
92	120	488
93	25654	25684
94	9823	7819
95	15800	15910
96	5706	7662
97	20020	22150
98	15480	16034
99	15852	12840
100	4729	3947
101	27948	30758
102	46096	36444
103	17518	19302
104	36710	39032
105	275	315
106	2100	2172
107	8940	10288
108	5408	6264
109	20986	22376
110	19730	20674
111	35524	39384
112	43056	47410
113	16308	18882
114	15272	15874
115	12812	13608
116	23950	23920
117	17836	18824
118	16562	17810
119	20264	26338
120	21960	27540
121	45024	47062
122	34442	37508
123	24596	31882
124	10740	12860
125	18914	23094
126	9172	13156
127	16356	17348
128	42987	43485
129	12852	14042
130	946	932
131	7694	7938
132	17448	24940
133	7458	7380
134	34760	35122
135	5106	3870
136	1110	928
137	41550	43870
138	25376	25210
139	16390	16474
140	28132	28490
141	307	183
142	13211	12697
143	21383	21731
144	31114	34032
145	8169	7923
146	41586	43344
147	8803	8904
