partitions	stage	size	time
2K	layer1	gadm	202.963
2K	layer2	gadm	375.2442
2K	overlay	gadm	1138.338
4K	layer1	gadm	134.5234
4K	layer2	gadm	335.0284
4K	overlay	gadm	758.4792
6K	layer1	gadm	121.5358
6K	layer2	gadm	172.6866
6K	overlay	gadm	521.2924
8K	layer1	gadm	124.383
8K	layer2	gadm	149.5308
8K	overlay	gadm	455.6644
10K	layer1	gadm	145.268
10K	layer2	gadm	182.1614
10K	overlay	gadm	436.2916
12K	layer1	gadm	181.8886
12K	layer2	gadm	238.465
12K	overlay	gadm	441.991
14K	layer1	gadm	217.6376
14K	layer2	gadm	281.407
14K	overlay	gadm	414.7164
16K	layer1	gadm	266.0836
16K	layer2	gadm	362.08
16K	overlay	gadm	438.192
18K	layer1	gadm	315.977
18K	layer2	gadm	430.50600000000003
18K	overlay	gadm	431.9878
20K	layer1	gadm	399.7086
20K	layer2	gadm	554.171
20K	overlay	gadm	483.067
22K	layer1	gadm	520.30675
22K	layer2	gadm	756.67525
22K	overlay	gadm	503.6105
24K	layer1	gadm	652.4045
24K	layer2	gadm	960.1320000000001
24K	overlay	gadm	634.37925
26K	layer1	gadm	750.325
26K	layer2	gadm	1107.7215
26K	overlay	gadm	705.21475
