geoid	year	geometry
42101000001	1990	POLYGON ((-75.1478 39.9486, -75.14919999999999 39.9487, -75.1507 39.9489, -75.1523 39.9491, -75.15219999999999 39.9496, -75.152 39.9505, -75.15170000000001 39.9517, -75.1515 39.9526, -75.1514 39.9531, -75.15130000000001 39.9536, -75.1511 39.9545, -75.1516 39.9545, -75.1514 39.9554, -75.15130000000001 39.9564, -75.1507 39.9564, -75.15000000000001 39.9563, -75.149795 39.956359, -75.14919999999999 39.9562, -75.14830000000001 39.956, -75.1476 39.9559, -75.1468 39.9558, -75.146 39.9557, -75.1452 39.9556, -75.1444 39.9556, -75.1439 39.9555, -75.1434 39.9554, -75.1431 39.9554, -75.1425 39.9553, -75.14125 39.955261, -75.140792 39.955223, -75.1404 39.9551, -75.140472 39.954902, -75.140579 39.954383, -75.1407 39.9538, -75.14100000000001 39.9532, -75.14112799999999 39.952796, -75.14131999999999 39.952075, -75.14149999999999 39.9514, -75.1418 39.9508, -75.142 39.95, -75.1422 39.9494, -75.14239999999999 39.9488, -75.1427 39.9479, -75.1434 39.948, -75.1442 39.9481, -75.1447 39.9482, -75.1454 39.9483, -75.14619999999999 39.9484, -75.14709999999999 39.9485, -75.1478 39.9486))
42101000002	1990	POLYGON ((-75.15900000000001 39.9536, -75.15940000000001 39.9536, -75.1609 39.9538, -75.16200000000001 39.954, -75.163 39.9541, -75.16289999999999 39.955, -75.1627 39.9559, -75.1623 39.9577, -75.16160000000001 39.9576, -75.16119999999999 39.9576, -75.16070000000001 39.9576, -75.1601 39.9575, -75.15860000000001 39.9573, -75.15819999999999 39.9572, -75.158 39.9572, -75.15770000000001 39.9572, -75.1574 39.9571, -75.157 39.9571, -75.1559 39.9569, -75.1555 39.9569, -75.154 39.9567, -75.15389999999999 39.9567, -75.1532 39.9567, -75.1523 39.9565, -75.15130000000001 39.9564, -75.1514 39.9554, -75.1516 39.9545, -75.1511 39.9545, -75.15130000000001 39.9536, -75.1514 39.9531, -75.1515 39.9526, -75.15219999999999 39.9528, -75.15309999999999 39.9528, -75.1546 39.953, -75.15560000000001 39.9531, -75.1563 39.9532, -75.1579 39.9534, -75.1585 39.9535, -75.15900000000001 39.9536))
42101000003	1990	POLYGON ((-75.17749999999999 39.9551, -75.1776 39.955, -75.1781 39.9553, -75.1788 39.9555, -75.17910000000001 39.9556, -75.1797 39.9557, -75.1795 39.956, -75.179 39.9558, -75.17870000000001 39.9571, -75.1789 39.9584, -75.1794 39.9597, -75.17919999999999 39.9597, -75.17829999999999 39.9595, -75.1773 39.9594, -75.1759 39.9592, -75.1755 39.9592, -75.1739 39.959, -75.1728 39.9588, -75.1722 39.9588, -75.17189999999999 39.9588, -75.1704 39.9585, -75.1688 39.9583, -75.16719999999999 39.9581, -75.1656 39.9579, -75.16549999999999 39.9582, -75.164 39.9579, -75.16330000000001 39.9578, -75.1623 39.9577, -75.1627 39.9559, -75.16289999999999 39.955, -75.163 39.9541, -75.1648 39.9543, -75.1664 39.9545, -75.16800000000001 39.9547, -75.1695 39.9549, -75.1712 39.955, -75.17270000000001 39.9552, -75.174115 39.955412, -75.1747 39.9555, -75.17570000000001 39.9557, -75.1763 39.9557, -75.1768 39.9558, -75.1773 39.9559, -75.17740000000001 39.9552, -75.17749999999999 39.9551))
42101000004	1990	POLYGON ((-75.1782 39.9523, -75.17919999999999 39.9524, -75.1802 39.9525, -75.18040000000001 39.9525, -75.18089999999999 39.9526, -75.1801 39.9541, -75.1798 39.9551, -75.1797 39.9557, -75.17910000000001 39.9556, -75.1788 39.9555, -75.1781 39.9553, -75.1776 39.955, -75.17749999999999 39.9551, -75.17740000000001 39.9552, -75.1773 39.9559, -75.1768 39.9558, -75.1763 39.9557, -75.17570000000001 39.9557, -75.1747 39.9555, -75.174115 39.955412, -75.17270000000001 39.9552, -75.1712 39.955, -75.1695 39.9549, -75.16800000000001 39.9547, -75.1664 39.9545, -75.1648 39.9543, -75.163 39.9541, -75.1632 39.9536, -75.16330000000001 39.953, -75.16500000000001 39.9532, -75.1653 39.9522, -75.16540000000001 39.9514, -75.16370000000001 39.9512, -75.1639 39.9505, -75.1656 39.9507, -75.16719999999999 39.9509, -75.1688 39.9511, -75.1703 39.9513, -75.17189999999999 39.9515, -75.1734 39.9517, -75.174142 39.951806, -75.1755 39.952, -75.17619999999999 39.952, -75.17700000000001 39.9521, -75.1782 39.9523))
42101000005	1990	POLYGON ((-75.15170000000001 39.9517, -75.152 39.9505, -75.15219999999999 39.9496, -75.1523 39.9491, -75.1538 39.9493, -75.1554 39.9495, -75.157 39.9496, -75.15860000000001 39.9498, -75.1602 39.95, -75.1618 39.9502, -75.1628 39.9504, -75.1639 39.9505, -75.16370000000001 39.9512, -75.16540000000001 39.9514, -75.1653 39.9522, -75.16500000000001 39.9532, -75.16330000000001 39.953, -75.1632 39.9536, -75.163 39.9541, -75.16200000000001 39.954, -75.1609 39.9538, -75.15940000000001 39.9536, -75.15900000000001 39.9536, -75.1585 39.9535, -75.1579 39.9534, -75.1563 39.9532, -75.15560000000001 39.9531, -75.1546 39.953, -75.15309999999999 39.9528, -75.15219999999999 39.9528, -75.1515 39.9526, -75.15170000000001 39.9517))
42101000006	1990	POLYGON ((-75.1533 39.9476, -75.1544 39.9478, -75.1553 39.9479, -75.1558 39.948, -75.1567 39.948, -75.1575 39.9481, -75.1591 39.9484, -75.15989999999999 39.9484, -75.1606 39.9485, -75.1614 39.9486, -75.1621 39.9487, -75.1631 39.9489, -75.16419999999999 39.949, -75.16419999999999 39.9493, -75.164 39.9497, -75.1639 39.9505, -75.1628 39.9504, -75.1618 39.9502, -75.1602 39.95, -75.15860000000001 39.9498, -75.157 39.9496, -75.1554 39.9495, -75.1538 39.9493, -75.1523 39.9491, -75.1524 39.9486, -75.1527 39.9482, -75.1528 39.9475, -75.1533 39.9476))
42101000007	1990	POLYGON ((-75.16419999999999 39.9493, -75.16419999999999 39.949, -75.16589999999999 39.9492, -75.1666 39.9492, -75.16759999999999 39.9493, -75.1691 39.9496, -75.1707 39.9498, -75.1722 39.95, -75.17270000000001 39.95, -75.1737 39.9501, -75.1758 39.9504, -75.1765 39.9505, -75.17740000000001 39.9506, -75.1786 39.9507, -75.1789 39.9508, -75.17959999999999 39.9508, -75.1807 39.9509, -75.18129999999999 39.9509, -75.1816 39.9512, -75.18089999999999 39.9526, -75.18040000000001 39.9525, -75.1802 39.9525, -75.17919999999999 39.9524, -75.1782 39.9523, -75.17700000000001 39.9521, -75.17619999999999 39.952, -75.1755 39.952, -75.174142 39.951806, -75.1734 39.9517, -75.17189999999999 39.9515, -75.1703 39.9513, -75.1688 39.9511, -75.16719999999999 39.9509, -75.1656 39.9507, -75.1639 39.9505, -75.164 39.9497, -75.16419999999999 39.9493))
42101000008	1990	POLYGON ((-75.1781 39.9482, -75.17919999999999 39.9484, -75.1802 39.9485, -75.1812 39.9486, -75.1823 39.9487, -75.18259999999999 39.9488, -75.1829 39.9488, -75.18340000000001 39.949, -75.18259999999999 39.95, -75.1816 39.9512, -75.18129999999999 39.9509, -75.1807 39.9509, -75.17959999999999 39.9508, -75.1789 39.9508, -75.1786 39.9507, -75.17740000000001 39.9506, -75.1765 39.9505, -75.1758 39.9504, -75.1737 39.9501, -75.17270000000001 39.95, -75.1722 39.95, -75.1707 39.9498, -75.1691 39.9496, -75.16759999999999 39.9493, -75.1666 39.9492, -75.16589999999999 39.9492, -75.16419999999999 39.949, -75.1645 39.9483, -75.16459999999999 39.9478, -75.1648 39.947, -75.16500000000001 39.9466, -75.1656 39.9467, -75.16670000000001 39.9468, -75.16719999999999 39.9469, -75.1683 39.947, -75.1688 39.9471, -75.1698 39.9473, -75.17140000000001 39.9474, -75.1729 39.9477, -75.17449999999999 39.9478, -75.1765 39.9481, -75.1772 39.9482, -75.1781 39.9482))
42101000009	1990	POLYGON ((-75.1532 39.9456, -75.1533 39.9452, -75.1549 39.9454, -75.1557 39.9455, -75.15600000000001 39.9455, -75.1564 39.9456, -75.1572 39.9457, -75.158 39.9458, -75.1587 39.9459, -75.1596 39.9459, -75.1604 39.946, -75.16119999999999 39.9461, -75.1619 39.9462, -75.1628 39.9463, -75.16379999999999 39.9464, -75.1641 39.9465, -75.16419999999999 39.9465, -75.16500000000001 39.9466, -75.1648 39.947, -75.16459999999999 39.9478, -75.1645 39.9483, -75.16419999999999 39.949, -75.1631 39.9489, -75.1621 39.9487, -75.1614 39.9486, -75.1606 39.9485, -75.15989999999999 39.9484, -75.1591 39.9484, -75.1575 39.9481, -75.1567 39.948, -75.1558 39.948, -75.1553 39.9479, -75.1544 39.9478, -75.1533 39.9476, -75.15349999999999 39.947, -75.1536 39.9464, -75.1537 39.9461, -75.15309999999999 39.9459, -75.1532 39.9456))
42101000010	1990	POLYGON ((-75.14400000000001 39.9416, -75.14409999999999 39.9412, -75.1442 39.9407, -75.1452 39.9408, -75.14579999999999 39.9408, -75.146 39.9409, -75.1469 39.941, -75.1478 39.9411, -75.1482 39.9412, -75.1494 39.9413, -75.1498 39.9413, -75.15049999999999 39.9414, -75.15089999999999 39.9415, -75.151213 39.941539, -75.15170000000001 39.9416, -75.1525 39.9417, -75.1541 39.9418, -75.154 39.9422, -75.15389999999999 39.9425, -75.15389999999999 39.9428, -75.1538 39.9433, -75.1537 39.9438, -75.1536 39.9441, -75.1536 39.9444, -75.15349999999999 39.9449, -75.1533 39.9452, -75.1532 39.9456, -75.15309999999999 39.9459, -75.1537 39.9461, -75.1536 39.9464, -75.15349999999999 39.947, -75.1533 39.9476, -75.1528 39.9475, -75.1527 39.9482, -75.1524 39.9486, -75.1523 39.9491, -75.1507 39.9489, -75.14919999999999 39.9487, -75.1478 39.9486, -75.14709999999999 39.9485, -75.14619999999999 39.9484, -75.1454 39.9483, -75.1447 39.9482, -75.1442 39.9481, -75.1434 39.948, -75.1427 39.9479, -75.1427 39.9474, -75.14279999999999 39.9472, -75.14279999999999 39.9469, -75.143 39.9463, -75.143 39.946, -75.1434 39.9445, -75.1435 39.944, -75.1437 39.9432, -75.1438 39.9426, -75.14400000000001 39.9416))
