geoid	n_total_pop	n_white_under_15	p_white_under_15
42101013800	2026.0	48.0	2.3692003948667324
42101013900	3323.0	0.0	0.0
42101014000	2460.0	0.0	0.0
42101014100	1947.0	4.0	0.2054442732408834
42101014200	3243.0	154.0	4.748689485044712
42101014300	1466.0	108.0	7.3669849931787175
42101014400	3151.0	140.0	4.443033957473818
42101014500	1603.0	0.0	0.0
42101014600	3289.0	0.0	0.0
42101014700	3747.0	7.0	0.1868161195623165
42101014800	730.0	0.0	0.0
42101014900	3207.0	0.0	0.0
42101015101	2323.0	0.0	0.0
42101015102	4375.0	0.0	0.0
42101015200	6284.0	0.0	0.0
42101015300	4200.0	0.0	0.0
42101015600	1844.0	0.0	0.0
42101015700	2800.0	314.0	11.214285714285714
42101015800	5603.0	578.0	10.315902195252544
42101016000	7125.0	637.0	8.940350877192982
42101016100	5037.0	84.0	1.6676593210244193
42101016200	1794.0	18.0	1.0033444816053512
42101016300	3622.0	14.0	0.3865267807840972
42101016400	4718.0	11.0	0.23314963967782956
42101016500	1911.0	0.0	0.0
42101016600	1459.0	0.0	0.0
42101016701	2778.0	0.0	0.0
42101016702	3046.0	15.0	0.4924491135915955
42101016800	4284.0	0.0	0.0
42101016901	3789.0	0.0	0.0
42101016902	5587.0	0.0	0.0
42101017000	2926.0	43.0	1.469583048530417
42101017100	3606.0	0.0	0.0
42101017201	3549.0	0.0	0.0
42101017202	3469.0	0.0	0.0
42101017300	3469.0	0.0	0.0
42101017400	2105.0	0.0	0.0
42101017500	6763.0	18.0	0.2661540736359604
42101017601	5198.0	0.0	0.0
42101017602	3729.0	0.0	0.0
42101017701	3288.0	97.0	2.9501216545012166
42101017702	6310.0	43.0	0.6814580031695722
42101017800	6531.0	54.0	0.8268259072117593
42101017900	6290.0	450.0	7.154213036565977
42101018001	2161.0	277.0	12.818139750115687
42101018002	4888.0	461.0	9.431260229132569
42101018300	4074.0	593.0	14.555719194894454
42101018400	2214.0	270.0	12.195121951219512
42101018800	8285.0	290.0	3.500301750150875
42101019000	7848.0	100.0	1.27420998980632
42101019100	7574.0	294.0	3.8817005545286505
42101019200	9285.0	86.0	0.9262250942380184
42101019501	4305.0	0.0	0.0
42101019502	3711.0	30.0	0.8084074373484237
42101019700	6659.0	0.0	0.0
42101019800	5867.0	0.0	0.0
42101019900	4674.0	0.0	0.0
42101020000	1369.0	0.0	0.0
42101020101	3953.0	0.0	0.0
42101020102	3476.0	49.0	1.4096662830840045
42101020200	5132.0	0.0	0.0
42101020300	2830.0	0.0	0.0
42101020400	2867.0	0.0	0.0
42101020500	3036.0	0.0	0.0
