geoid	n_total_pop	n_white_under_15	p_white_under_15
42101000100	2650	34	1.28
42101000200	1362	5	0.37
42101000300	2570	102	3.97
42101000400	4313	40	0.93
42101000500	1126	1	0.09
42101000600	1315	7	0.53
42101000700	2564	32	1.25
42101000800	8461	188	2.22
42101000900	4969	50	1.01
42101001000	5808	278	4.79
42101001100	5925	124	2.09
42101001200	8148	418	5.13
42101001300	4353	75	1.72
42101001400	3585	49	1.37
42101001500	2179	79	3.63
42101001600	1981	105	5.3
42101001700	2415	150	6.21
42101001800	2398	114	4.75
42101001900	2686	4	0.15
42101002000	2334	4	0.17
42101002100	2340	13	0.56
42101002200	2182	12	0.55
42101002300	2480	174	7.02
42101002400	4426	179	4.04
42101002500	3149	139	4.41
42101002600	0	0	
42101002700	7658	566	7.39
42101002800	9255	666	7.2
42101002900	4050	392	9.68
42101003000	8160	84	1.03
42101003100	5161	3	0.06
42101003200	5587	95	1.7
42101003300	6235	461	7.39
42101003400	363	4	1.1
42101003500	126	17	13.49
42101003600	5724	306	5.35
42101003701	7061	93	1.32
42101003702	3372	278	8.24
42101003800	3851	518	13.45
42101003901	6192	651	10.51
42101003902	5630	847	15.04
42101004001	4036	488	12.09
42101004002	5024	729	14.51
42101004101	5737	258	4.5
42101004102	7316	820	11.21
42101004201	5449	827	15.18
42101004202	5053	860	17.02
42101004300	0	0	
42101004400	1088	102	9.38
42101004500	3066	373	12.17
42101004600	185	1	0.54
42101004700	2561	316	12.34
42101004800	472	54	11.44
42101004900	0	0	
42101005000	0	0	
42101005100	611	2	0.33
42101005200	1	0	0.0
42101005400	1248	3	0.24
42101005500	5777	241	4.17
42101005600	1230	9	0.73
42101005700	0	0	
42101005800	0	0	
42101005900	0	0	
42101006000	6127	453	7.39
42101006100	2957	211	7.14
42101006200	4127	425	10.3
42101006300	4546	100	2.2
42101006400	4658	143	3.07
42101006500	5231	4	0.08
42101006600	3979	60	1.51
42101006700	6991	448	6.41
42101006800	1	0	0.0
42101006900	2710	9	0.33
42101007000	4588	3	0.07
42101007100	8310	15	0.18
42101007200	5421	20	0.37
42101007300	3255	5	0.15
42101007400	4559	18	0.39
42101007500	0	0	
42101007600	2419	1	0.04
42101007700	1850	18	0.97
42101007800	4690	132	2.81
42101007900	4777	116	2.43
42101008000	4481	5	0.11
42101008100	8288	2	0.02
42101008200	7297	5	0.07
42101008301	4420	2	0.05
42101008302	4535	4	0.09
42101008400	4798	8	0.17
42101008500	6539	3	0.05
42101008600	6224	62	1.0
42101008700	6733	118	1.75
42101008800	8307	22	0.26
42101008900	3226	1	0.03
42101009000	5452	30	0.55
42101009100	2812	30	1.07
42101009200	3075	6	0.2
42101009300	4609	1	0.02
42101009400	3871	0	0.0
42101009500	3588	4	0.11
42101009600	4504	3	0.07
42101009700	35	2	5.71
42101009800	7768	311	4.0
42101009900	381	36	9.45
42101010000	4218	107	2.54
42101010100	5841	12	0.21
42101010200	3208	1	0.03
42101010300	2588	9	0.35
42101010400	3498	2	0.06
42101010500	3503	4	0.11
42101010600	1565	5	0.32
42101010700	3671	1	0.03
42101010800	4273	8	0.19
42101010900	2553	1	0.04
42101011000	3817	4	0.1
42101011100	4204	7	0.17
42101011200	6107	7	0.11
42101011300	3132	2	0.06
42101011400	6612	30	0.45
42101011500	4274	79	1.85
42101011600	4033	183	4.54
42101011700	2738	37	1.35
42101011800	5987	9	0.15
42101011900	5596	7	0.13
42101012000	1661	10	0.6
42101012100	3340	26	0.78
42101012200	8016	74	0.92
42101012300	16	0	0.0
42101012400	0	0	
42101012500	4352	65	1.49
42101012600	835	10	1.2
42101012700	727	1	0.14
42101012800	236	14	5.93
42101012900	553	27	4.88
42101013000	994	15	1.51
42101013100	1676	2	0.12
42101013200	2158	2	0.09
42101013300	2249	15	0.67
42101013400	5386	193	3.58
42101013500	3437	120	3.49
42101013600	5962	403	6.76
42101013700	5052	19	0.38
42101013800	2339	10	0.43
42101013900	2716	4	0.15
42101014000	3011	8	0.27
42101014100	2303	6	0.26
42101014200	2171	97	4.47
42101014300	1449	201	13.87
42101014400	3217	132	4.1
42101014500	1431	0	0.0
42101014600	3260	1	0.03
42101014700	2338	0	0.0
42101014800	742	0	0.0
42101014900	4634	5	0.11
42101015000	110	2	1.82
42101015100	8018	3	0.04
42101015200	5167	1	0.02
42101015300	3382	15	0.44
42101015400	2258	0	0.0
42101015500	2941	7	0.24
42101015600	1992	22	1.1
42101015700	2732	179	6.55
42101015800	5854	1033	17.65
42101015900	1817	442	24.33
42101016000	7406	1624	21.93
42101016100	5548	664	11.97
42101016200	2329	9	0.39
42101016300	3629	35	0.96
42101016400	5233	20	0.38
42101016500	2722	3	0.11
42101016600	1699	1	0.06
42101016700	6947	10	0.14
42101016800	4553	1	0.02
42101016901	3892	6	0.15
42101016902	6492	4	0.06
42101017000	2840	29	1.02
42101017100	4435	3	0.07
42101017200	8643	4	0.05
42101017300	3152	2	0.06
42101017400	2641	3	0.11
42101017500	7452	18	0.24
42101017601	5863	16	0.27
42101017602	3867	27	0.7
42101017700	9159	271	2.96
42101017800	6340	534	8.42
42101017900	6050	908	15.01
42101018000	8005	1514	18.91
42101018100	215	31	14.42
42101018200	393	72	18.32
42101018300	4008	762	19.01
42101018400	2178	449	20.62
42101018500	123	17	13.82
42101018600	4892	788	16.11
42101018700	1576	267	16.94
42101018800	7257	1024	14.11
42101018900	1003	120	11.96
42101019000	6869	725	10.55
42101019100	6662	584	8.77
42101019200	7519	387	5.15
42101019300	111	7	6.31
42101019400	340	4	1.18
42101019500	8642	97	1.12
42101019600	2677	21	0.78
42101019700	7139	28	0.39
42101019800	6239	20	0.32
42101019900	4897	12	0.25
42101020000	1861	5	0.27
42101020100	7732	8	0.1
42101020200	5666	9	0.16
42101020300	3140	11	0.35
42101020400	3398	4	0.12
42101020500	3139	12	0.38
42101020600	1815	108	5.95
42101020700	6378	507	7.95
42101020800	1906	61	3.2
42101020900	2835	346	12.2
42101021000	4994	692	13.86
42101021100	2587	344	13.3
42101021200	2401	364	15.16
42101021300	3676	510	13.87
42101021400	3970	367	9.24
42101021500	3541	541	15.28
42101021600	1780	227	12.75
42101021700	5968	847	14.19
42101021800	4490	364	8.11
42101021900	1169	168	14.37
42101022000	1603	190	11.85
42101022100	1108	159	14.35
42101022200	1446	249	17.22
42101022300	202	21	10.4
42101022400	384	57	14.84
42101022500	571	40	7.01
42101022600	475	62	13.05
42101022700	1231	191	15.52
42101022800	1520	181	11.91
42101022900	301	64	21.26
42101023000	438	41	9.36
42101023100	1242	248	19.97
42101023200	649	61	9.4
42101023300	3097	235	7.59
42101023400	547	81	14.81
42101023500	1141	138	12.09
42101023600	2659	240	9.03
42101023700	5123	119	2.32
42101023800	4896	78	1.59
42101023900	2015	30	1.49
42101024000	4208	70	1.66
42101024100	1436	15	1.04
42101024200	4172	38	0.91
42101024300	4016	32	0.8
42101024400	3491	21	0.6
42101024500	4510	14	0.31
42101024600	2883	3	0.1
42101024700	4866	7	0.14
42101024800	2137	1	0.05
42101024900	3619	6	0.17
42101025000	1120	11	0.98
42101025100	2133	3	0.14
42101025200	7327	20	0.27
42101025300	4284	17	0.4
42101025400	4303	21	0.49
42101025500	2762	96	3.48
42101025600	2975	222	7.46
42101025700	3320	225	6.78
42101025800	1707	3	0.18
42101025900	5174	9	0.17
42101026000	3050	2	0.07
42101026100	3237	3	0.09
42101026200	4564	3	0.07
42101026301	4313	1	0.02
42101026302	5754	3	0.05
42101026400	5943	6	0.1
42101026500	4823	7	0.15
42101026600	6975	4	0.06
42101026700	7068	11	0.16
42101026800	4698	17	0.36
42101026900	2359	87	3.69
42101027000	2452	80	3.26
42101027100	2438	37	1.52
42101027200	4567	33	0.72
42101027300	6000	114	1.9
42101027400	10479	258	2.46
42101027500	4823	113	2.34
42101027600	3932	8	0.2
42101027700	5102	2	0.04
42101027800	4867	4	0.08
42101027900	8350	5	0.06
42101028000	4819	5	0.1
42101028100	4012	8	0.2
42101028200	5448	16	0.29
42101028300	7270	12	0.17
42101028400	4409	19	0.43
42101028500	2373	13	0.55
42101028600	7337	72	0.98
42101028700	2489	43	1.73
42101028800	4373	92	2.1
42101028900	10116	248	2.45
42101029000	6217	118	1.9
42101029100	4371	140	3.2
42101029200	4295	218	5.08
42101029300	3005	329	10.95
42101029400	3125	208	6.66
42101029500	1031	188	18.23
42101029600	1176	204	17.35
42101029700	437	66	15.1
42101029800	4395	679	15.45
42101029900	4448	318	7.15
42101030000	7150	315	4.41
42101030100	6050	493	8.15
42101030200	6694	912	13.62
42101030300	6887	730	10.6
42101030400	495	49	9.9
42101030500	10172	1295	12.73
42101030600	6911	924	13.37
42101030700	3114	411	13.2
42101030800	4440	719	16.19
42101030900	3529	343	9.72
42101031000	5888	906	15.39
42101031100	8395	1165	13.88
42101031200	4171	490	11.75
42101031300	5866	748	12.75
42101031400	10298	1520	14.76
42101031500	9455	1892	20.01
42101031600	5452	1033	18.95
42101031700	5470	913	16.69
42101031800	3512	448	12.76
42101031900	4618	904	19.58
42101032000	6199	1122	18.1
42101032100	3741	724	19.35
42101032200	197	29	14.72
42101032300	3596	723	20.11
42101032400	18	7	38.89
42101032500	5285	955	18.07
42101032600	6561	1255	19.13
42101032700	494	19	3.85
42101032800	6206	1	0.02
42101032900	4073	564	13.85
42101033000	7169	1498	20.9
42101033100	8896	1613	18.13
42101033200	2542	431	16.96
42101033300	4272	337	7.89
42101033400	4795	417	8.7
42101033500	3453	434	12.57
42101033600	6364	1069	16.8
42101033700	9328	1214	13.01
42101033800	5981	950	15.88
42101033900	2749	413	15.02
42101034000	2495	376	15.07
42101034100	5627	860	15.28
42101034200	3180	351	11.04
42101034300	195	29	14.87
42101034400	7291	957	13.13
42101034500	8440	681	8.07
42101034600	1871	62	3.31
42101034701	6083	720	11.84
42101034702	4052	544	13.43
42101034801	4286	595	13.88
42101034802	5458	710	13.01
42101034803	4495	695	15.46
42101034900	6589	808	12.26
42101035100	4637	244	5.26
42101035200	4370	644	14.74
42101035301	5495	1063	19.34
42101035302	4479	626	13.98
42101035400	8	0	0.0
42101035500	6793	768	11.31
42101035600	8789	992	11.29
42101035700	9027	1090	12.07
42101035800	5951	683	11.48
42101035900	5453	722	13.24
42101036000	2947	301	10.21
42101036100	3976	635	15.97
42101036201	5063	802	15.84
42101036202	6334	1046	16.51
42101036203	5279	1009	19.11
42101036301	3866	718	18.57
42101036302	3789	636	16.79
42101036303	7123	1402	19.68
42101036400	304	19	6.25
42101036500	9474	1555	16.41
42101036600	644	42	6.52
