WKT	field_2
"POLYGON ((2726357.303 278015.029,2725962.287 278112.251,2725516.621 278025.701,2724917.972 278371.819,2724572.234 278689.245,2724763.604 278840.884,2724793.596 278958.792,2724838.612 279134.744,2724655.159 279639.364,2724594.753 279783.297,2724694.646 279904.438,2724810.743 280045.027,2725240.39 279730.175,2725352.287 279733.603,2725710.735 280837.587,2725678.298 280982.375,2725205.079 281806.12,2724826.95 282268.331,2724486.556 282403.693,2724178.873 282394.278,2722424.271 281174.413,2722374.992 280954.237,2722287.74 281060.91,2721714.962 281480.783,2721628.825 281551.047,2720485.026 280495.735,2719609.792 279813.458,2718783.058 280298.569,2718723.805 280405.74,2718643.19 280294.321,2718618.533 280184.237,2718485.297 279961.521,2718324.084 279737.956,2718751.438 279495.815,2719036.714 279322.254,2719207.882 279218.119,2720011.018 278635.724,2720124.124 278553.518,2720411.638 278307.15,2720652.335 278678.93,2720975.841 279089.679,2721177.213 278913.587,2721433.428 278775.613,2721948.089 278426.85,2722547.804 278044.248,2723005.43 277730.211,2723520.135 277381.481,2723606.291 277311.224,2724034.854 277032.762,2724549.588 276684.054,2725149.385 276301.515,2725378.787 276126.314,2725607.077 275987.527,2725673.942 276071.942,2725740.428 276049.926,2725923.844 276616.808,2726025.708 276947.94,2726105.453 277096.167,2726223.579 277526.931,2726357.303 278015.029))"	A344
"POLYGON ((2732609.706 270517.557,2732888.426 270562.622,2733163.766 270716.922,2732987.975 270966.604,2732975.585 271367.124,2732974.459 271403.535,2732856.893 271582.127,2733425.387 272219.296,2733503.152 272503.064,2733576.374 272770.656,2733548.749 272875.858,2733385.94 273493.677,2733285.639 273567.109,2733065.258 273728.668,2732855.492 273882.176,2732669.516 274018.198,2731809.847 274647.65,2731695.678 274717.015,2731458.473 274235.896,2731830.093 273992.253,2731375.777 273285.754,2731155.296 273169.611,2730824.008 273013.606,2729499.888 273264.358,2729151.78 273654.542,2728465.689 273196.085,2728241.835 273189.202,2728202.659 273552.453,2728170.2 273697.237,2728047.084 274057.908,2728138.858 274716.749,2728342.543 275379.032,2728284.345 275450.134,2728186.973 275884.487,2728261.952 276178.357,2728534.991 277316.567,2728229.468 278145.419,2726825.455 279147.907,2726769.921 279187.386,2726712.093 279228.617,2726308.159 279617.123,2726270.133 279943.966,2726375.327 280165.867,2726615.917 280537.704,2726796.094 281053.107,2726569.642 281425.19,2726294.866 281875.973,2726203.132 282128.278,2725910.019 282556.635,2725850.728 282664.154,2724985.162 284095.814,2724700.777 284560.532,2723663.599 283542.952,2723651.167 283528.358,2723461.619 283583.792,2723226.895 283312.754,2722537.824 283874.835,2721891.597 285786.72,2722074.037 286229.63,2722040.515 286410.834,2721974.584 286736.831,2721371.546 287024.217,2720830.821 287150.24,2720729.647 287172.67,2719971.245 287258.918,2719743.089 287397.758,2719279.035 287930.325,2719113.454 288045.926,2718969.895 288146.161,2718707.953 288328.811,2718278.15 288628.823,2717795.784 287921.724,2716510.807 285987.624,2716954.972 286110.415,2716958.282 286001.18,2717019.734 285820.817,2717916.021 285702.58,2718143.954 285672.687,2718621.927 285327.485,2718645.682 285310.348,2718773.619 285218.019,2719782.683 285175.801,2719949.384 285217.318,2720174.237 285187.714,2720430.384 285049.73,2719995.078 284635.584,2718745.012 283394.89,2719065.96 282967.298,2719412.676 282613.383,2719389.132 282466.886,2719104.684 281692.892,2718960.751 281177.557,2718776.434 280516.674,2718723.805 280405.74,2718783.058 280298.569,2719609.792 279813.458,2720485.026 280495.735,2721628.825 281551.047,2721714.962 281480.783,2722287.74 281060.91,2722374.992 280954.237,2722424.271 281174.413,2724178.873 282394.278,2724486.556 282403.693,2724826.95 282268.331,2725205.079 281806.12,2725678.298 280982.375,2725710.735 280837.587,2725352.287 279733.603,2725240.39 279730.175,2724810.743 280045.027,2724694.646 279904.438,2724594.753 279783.297,2724655.159 279639.364,2724838.612 279134.744,2724793.596 278958.792,2724763.604 278840.884,2724572.234 278689.245,2724917.972 278371.819,2725516.621 278025.701,2725962.287 278112.251,2726357.303 278015.029,2726428.922 278017.226,2726469.208 278018.461,2726502.329 277970.276,2727231.252 276912.041,2727380.086 276625.047,2727348.732 275822.283,2727352.087 275713.049,2727416.992 275423.478,2727134.933 274576.57,2727034.189 274209.022,2726990.522 273806.781,2726670.111 273286.711,2726653.301 272921.741,2726492.11 272698.123,2725639.163 272198.184,2725280.961 272004.985,2724808.593 271881.187,2724122.523 272333.99,2723900.888 272254.323,2723904.227 272145.089,2723811.214 271522.675,2723902.113 271508.688,2724402.21 271431.409,2724911.488 271264.765,2725245.065 271347.868,2725636.837 271359.868,2726073.415 271737.702,2726747.249 271685.477,2727349.435 271230.169,2728284.377 270894.44,2728903.392 270804.142,2729014.209 270843.998,2729234.721 270960.122,2729535.82 271188.066,2729446.262 271367.536,2729382.447 271620.69,2729620.841 272065.378,2729840.217 272217.919,2730173.766 272301.088,2731047.97 272109.375,2731186.172 272205.483,2731486.703 272414.482,2731847.102 272534.949,2732332.932 272221.95,2732606.167 271537.928,2732586.064 271282.186,2732342.087 271019.524,2732244.779 270542.722,2732609.706 270517.557))"	A350
"POLYGON ((2724902.745 284785.025,2726216.761 286247.042,2725592.559 286519.464,2725478.461 286588.858,2725024.305 286793.615,2724610.481 287509.852,2724519.897 287725.752,2724515.439 287871.398,2724507.636 288126.277,2724673.286 289115.377,2724500.026 290203.438,2724379.26 290491.305,2724143.307 290884.984,2723846.983 291422.6,2723788.834 291493.712,2723501.431 291740.041,2723357.175 291881.413,2723089.952 292383.482,2722821.626 292921.965,2722552.2 293496.862,2722491.835 293640.801,2722401.289 293856.709,2722102.639 293556.028,2721695.477 293142.704,2721393.199 292951.258,2721283.582 292875.025,2721043.045 292503.239,2720962.494 292391.448,2720719.729 292092.488,2720452.323 291683.445,2720104.349 291162.616,2719862.669 290827.253,2719807.853 290789.14,2719599.055 290476.648,2719459.852 290268.32,2719272.972 289971.076,2718903.967 289459.102,2718762.699 289263.108,2718278.15 288628.823,2718707.953 288328.811,2718969.895 288146.161,2719113.454 288045.926,2719279.035 287930.325,2719743.089 287397.758,2719971.245 287258.918,2720729.647 287172.67,2720830.821 287150.24,2721371.546 287024.217,2721974.584 286736.831,2722040.515 286410.834,2722074.037 286229.63,2721891.597 285786.72,2722537.824 283874.835,2723226.895 283312.754,2723461.619 283583.792,2723651.167 283528.358,2723663.599 283542.952,2724700.777 284560.532,2724902.745 284785.025))"	A351
"POLYGON ((2728177.935 281642.247,2728685.874 282423.231,2728794.397 282535.908,2729170.294 283057.72,2729222.871 283168.677,2729382.084 283389.703,2729813.529 283988.68,2729613.255 284128.29,2729385.014 284267.041,2729155.654 284442.205,2728899.45 284580.099,2728441.867 284894.027,2727928.359 285206.243,2727700.138 285345.009,2727386.897 285517.611,2727146.371 285145.766,2727087.08 285253.282,2726838.45 285537.211,2726415.183 286020.608,2726216.761 286247.042,2724902.745 284785.025,2724700.777 284560.532,2724985.162 284095.814,2725850.728 282664.154,2725910.019 282556.635,2726203.132 282128.278,2726294.866 281875.973,2726569.642 281425.19,2726796.094 281053.107,2726615.917 280537.704,2726375.327 280165.867,2726270.133 279943.966,2726308.159 279617.123,2726712.093 279228.617,2726817.287 279450.518,2726998.576 279929.876,2727319.725 280413.53,2727478.627 280709.612,2727530.132 280773.881,2727748.287 281045.909,2727828.848 281157.722,2728177.935 281642.247))"	A352
"POLYGON ((2730965.5 278411.934,2731855.248 277710.495,2731996.256 277678.406,2732291.616 278088.439,2732504.671 278334.475,2732616.069 278462.929,2732802.04 278796.694,2733015.391 279123.289,2733281.461 279501.45,2733457.499 279748.536,2734277.486 280882.988,2733131.517 281722.19,2731931.655 282486.887,2731273.701 282940.356,2730786.964 283289.787,2729975.283 283872.666,2729917.74 283913.898,2729873.366 283945.696,2729813.529 283988.68,2729382.084 283389.703,2729222.871 283168.677,2729170.294 283057.72,2728794.397 282535.908,2728685.874 282423.231,2728177.935 281642.247,2728218.966 281582.645,2728252.971 281533.031,2728281.414 281491.265,2728764.271 280785.591,2728812.365 280742.243,2729262.228 280072.372,2729467.018 279787.114,2729515.777 279713.174,2729584.523 279608.506,2729760.223 279358.8,2729773.719 279347.917,2729932.56 279218.328,2730161.972 279043.171,2730391.387 278868.017,2730851.35 278481.303,2730965.5 278411.934))"	A353
"POLYGON ((2730086.229 275141.15,2730139.944 275215.697,2730019.049 275503.536,2730275.265 276276.793,2730289.771 276714.588,2730176.653 277658.688,2730137.451 278021.936,2730131.839 278203.992,2730057.929 278784.844,2730081.414 278931.351,2730161.972 279043.171,2729932.56 279218.328,2729773.719 279347.917,2729760.223 279358.8,2729584.523 279608.506,2729515.777 279713.174,2729467.018 279787.114,2729262.228 280072.372,2728812.365 280742.243,2728764.271 280785.591,2728281.414 281491.265,2728252.971 281533.031,2728218.966 281582.645,2728177.935 281642.247,2727828.848 281157.722,2727748.287 281045.909,2727530.132 280773.881,2727478.627 280709.612,2727319.725 280413.53,2726998.576 279929.876,2726817.287 279450.518,2726712.093 279228.617,2726769.921 279187.386,2726825.455 279147.907,2728229.468 278145.419,2728534.991 277316.567,2728261.952 276178.357,2728186.973 275884.487,2728284.345 275450.134,2728342.543 275379.032,2728569.736 275276.683,2728992.788 275180.363,2729470.681 275122.186,2730061.617 275031.055,2730086.229 275141.15))"	A354
"POLYGON ((2739483.505 284543.747,2740221.598 285113.49,2740630.876 285454.297,2741153.152 285762.2,2741638.329 286360.523,2742135.48 287469.479,2742324.393 287694.075,2742065.863 287904.654,2741688.638 288330.196,2741375.331 288502.62,2740823.511 289141.389,2740244.894 289742.885,2739612.655 290269.828,2739150.578 290788.975,2738975.897 290942.429,2738193.695 291792.743,2738076.178 291971.311,2737699.082 292396.914,2737241.062 292869.206,2737197.113 292914.488,2737154.607 292958.358,2737115.291 292998.683,2736875.5 292772.179,2736657.487 292583.165,2736582.739 292511.956,2736222.585 292168.732,2735877.909 291831.461,2735498.183 291459.941,2735302.059 291268.34,2735299.074 291265.331,2734956.499 290922.673,2734544.484 290454.313,2734432.549 290327.289,2734242.458 290139.164,2733781.765 289651.085,2733721.206 289573.037,2733404.943 289165.614,2732867.084 288456.488,2731877.418 286968.044,2731766.06 286767.066,2731702.982 286688.58,2731529.608 286447.055,2731126.692 285887.923,2730988.665 285679.93,2730805.694 285404.219,2730538.373 284995.066,2730459.717 284885.854,2730216.228 284547.781,2729813.529 283988.68,2729873.366 283945.696,2729917.74 283913.898,2729975.283 283872.666,2730786.964 283289.787,2731273.701 282940.356,2731931.655 282486.887,2733131.517 281722.19,2734277.486 280882.988,2734820.256 280535.725,2735047.432 280433.435,2735674.156 280088.431,2735988.655 279879.523,2736370.107 280219.391,2736880.101 280927.357,2737223.353 281594.065,2737383.253 281854.164,2737516.311 282076.982,2737653.65 282333.1,2738341.443 283451.188,2738662.325 283934.99,2739046.226 284202.086,2739483.505 284543.747))"	A364
"POLYGON ((2730961.701 291240.36,2730281.227 290526.524,2729172.056 289362.879,2728003.854 288131.14,2727198.054 287281.608,2726216.761 286247.042,2726415.183 286020.608,2726838.45 285537.211,2727087.08 285253.282,2727146.371 285145.766,2727386.897 285517.611,2727700.138 285345.009,2727928.359 285206.243,2728441.867 284894.027,2728899.45 284580.099,2729155.654 284442.205,2729385.014 284267.041,2729613.255 284128.29,2729813.529 283988.68,2730216.228 284547.781,2730459.717 284885.854,2730538.373 284995.066,2730805.694 285404.219,2730988.665 285679.93,2731126.692 285887.923,2731529.608 286447.055,2731702.982 286688.58,2731766.06 286767.066,2731877.418 286968.044,2732867.084 288456.488,2733404.943 289165.614,2732651.975 289980.558,2732392.939 290238.234,2732189.933 290440.061,2731640.648 291006.213,2731526.552 291075.579,2730961.701 291240.36))"	A365
"POLYGON ((2723949.229 295398.289,2723719.22 295169.298,2723683.375 295133.579,2723377.599 294829.019,2722765.207 294219.157,2722401.289 293856.709,2722491.835 293640.801,2722552.2 293496.862,2722821.626 292921.965,2723089.952 292383.482,2723357.175 291881.413,2723501.431 291740.041,2723788.834 291493.712,2723846.983 291422.6,2724143.307 290884.984,2724379.26 290491.305,2724500.026 290203.438,2724673.286 289115.377,2724507.636 288126.277,2724515.439 287871.398,2724519.897 287725.752,2724610.481 287509.852,2725024.305 286793.615,2725478.461 286588.858,2725592.559 286519.464,2726216.761 286247.042,2727198.054 287281.608,2728003.854 288131.14,2729172.056 289362.879,2730281.227 290526.524,2730961.701 291240.36,2730537.788 291373.057,2730142.963 291470.213,2730077.674 291518.13,2729999.79 291575.135,2729655.001 291856.07,2729226.618 292134.435,2728395.601 292764.869,2728137.244 292975.593,2727880.011 293149.909,2727622.782 293324.228,2727312.425 293406.166,2726835.459 293445.817,2726401.657 293720.417,2726121.966 293897.706,2724092.355 295293.332,2723949.229 295398.289))"	A366
